product_name,rating,text,issues,date,source
Cetaphil Gentle Skin Cleanser,3,"It's okay, nothing special. Gets the job done.",,2026-03-15,synthetic
La Roche-Posay Toleriane Double Repair Face Moisturizer,5,This cleanser is incredible. So gentle and effective.,,2026-03-15,synthetic
Paula's Choice 2% BHA Exfoliant,4,Solid moisturizer. Does what it says.,,2026-03-15,synthetic
Clinique Dramatically Different Moisturizing Gel,5,Love this product! My skin feels amazing.,,2026-03-15,synthetic
The Ordinary Niacinamide 10% + Zinc 1%,5,Holy grail product. Will repurchase forever.,,2026-03-15,synthetic
Paula's Choice 2% BHA Exfoliant,4,"Good product, but I've used better.",,2026-03-15,synthetic
Clinique Dramatically Different Moisturizing Gel,3,Just okay. Won't buy again but didn't hate it.,,2026-03-15,synthetic
Cetaphil Gentle Skin Cleanser,3,"Works fine, but I prefer other brands.",,2026-03-15,synthetic
The Ordinary Niacinamide 10% + Zinc 1%,5,Perfect for sensitive skin. No irritation at all.,,2026-03-15,synthetic
Neutrogena Hydro Boost Water Gel,2,Made my skin feel dry and tight.,irritation,2026-03-15,synthetic
CeraVe Hydrating Facial Cleanser,4,Effective but took a few weeks to see results.,,2026-03-15,synthetic
Aveeno Daily Moisturizing Lotion,4,"Really good product, works well but a bit pricey.",,2026-03-15,synthetic
Paula's Choice 2% BHA Exfoliant,5,Holy grail product. Will repurchase forever.,,2026-03-15,synthetic
Olay Regenerist Retinol 24 Night Moisturizer,5,Holy grail product. Will repurchase forever.,,2026-03-15,synthetic
CeraVe Hydrating Facial Cleanser,4,Effective but took a few weeks to see results.,,2026-03-15,synthetic
CeraVe Hydrating Facial Cleanser,5,Holy grail product. Will repurchase forever.,,2026-03-15,synthetic
Paula's Choice 2% BHA Exfoliant,3,"Works fine, but I prefer other brands.",,2026-03-15,synthetic
Aveeno Daily Moisturizing Lotion,4,Nice texture and absorbs quickly.,,2026-03-15,synthetic
Clinique Dramatically Different Moisturizing Gel,1,My skin is still recovering from this.,rash,2026-03-15,synthetic
Neutrogena Hydro Boost Water Gel,4,"Really good product, works well but a bit pricey.",,2026-03-15,synthetic
Paula's Choice 2% BHA Exfoliant,5,Love this product! My skin feels amazing.,,2026-03-15,synthetic
Paula's Choice 2% BHA Exfoliant,3,"It's okay, nothing special. Gets the job done.",,2026-03-15,synthetic
Kiehl's Ultra Facial Cream,4,Solid moisturizer. Does what it says.,,2026-03-15,synthetic
Aveeno Daily Moisturizing Lotion,4,"Good product, but I've used better.",,2026-03-15,synthetic
Kiehl's Ultra Facial Cream,4,Nice texture and absorbs quickly.,,2026-03-15,synthetic
Neutrogena Hydro Boost Water Gel,3,"Works fine, but I prefer other brands.",,2026-03-15,synthetic
CeraVe Hydrating Facial Cleanser,5,Life changing! My acne cleared up completely.,,2026-03-15,synthetic
Aveeno Daily Moisturizing Lotion,5,This cleanser is incredible. So gentle and effective.,,2026-03-15,synthetic
The Ordinary Niacinamide 10% + Zinc 1%,2,Made my skin feel dry and tight.,rash,2026-03-15,synthetic
The Ordinary Niacinamide 10% + Zinc 1%,3,"It's okay, nothing special. Gets the job done.",,2026-03-15,synthetic
Aveeno Daily Moisturizing Lotion,5,⭐⭐⭐⭐⭐ Best moisturizer I've ever used.,,2026-03-15,synthetic
Olay Regenerist Retinol 24 Night Moisturizer,4,"Good product, but I've used better.",,2026-03-15,synthetic
Clinique Dramatically Different Moisturizing Gel,5,Perfect for sensitive skin. No irritation at all.,,2026-03-15,synthetic
