product_name,rating,text,date,source
Hydrating Gel Cleanser,4,"Works well, took a few weeks to see results.",2026-03-04,synthetic
Barrier Repair Moisturiser,5,"Perfect for my sensitive skin, no reaction whatsoever.",2026-01-23,synthetic
Hydrating Gel Cleanser,4,Really good product but a bit pricey.,2026-01-24,synthetic
Hydrating Gel Cleanser,5,"Perfect for my sensitive skin, no reaction whatsoever.",2026-02-20,synthetic
Salicylic Acid Toner,3,"It's okay, nothing special.",2026-04-25,synthetic
Hydrating Gel Cleanser,4,Does what it says. Nice texture and absorbs quickly.,2026-06-28,synthetic
Gentle Foaming Face Wash,4,Does what it says. Nice texture and absorbs quickly.,2026-02-25,synthetic
Overnight Retinol Cream,1,"Terrible, gave me a rash across my cheeks.",2026-01-24,synthetic
Overnight Retinol Cream,5,"Best moisturiser I've used, no irritation at all.",2026-06-04,synthetic
Hydrating Gel Cleanser,5,"My skin has never looked better, really happy with it.",2026-05-18,synthetic
Salicylic Acid Toner,5,"Love this, my skin feels amazing after a week.",2026-05-22,synthetic
Overnight Retinol Cream,5,"Perfect for my sensitive skin, no reaction whatsoever.",2026-02-19,synthetic
Hydrating Gel Cleanser,3,Works fine but I probably won't repurchase.,2026-02-28,synthetic
Barrier Repair Moisturiser,3,"It's okay, nothing special.",2026-01-26,synthetic
Fragrance-Free Body Lotion,5,"Best moisturiser I've used, no irritation at all.",2026-02-11,synthetic
Daily Mineral SPF 30,5,"Best moisturiser I've used, no irritation at all.",2026-06-29,synthetic
Barrier Repair Moisturiser,2,"Disappointed, gave me a couple of breakouts.",2026-05-17,synthetic
Niacinamide 10% Serum,3,Average. Expected more based on the hype.,2026-04-08,synthetic
Daily Mineral SPF 30,5,"Best moisturiser I've used, no irritation at all.",2026-01-15,synthetic
Hydrating Gel Cleanser,5,"Best moisturiser I've used, no irritation at all.",2026-04-13,synthetic
Daily Mineral SPF 30,5,"Perfect for my sensitive skin, no reaction whatsoever.",2026-03-22,synthetic
Fragrance-Free Body Lotion,5,"My skin has never looked better, really happy with it.",2026-06-14,synthetic
Gentle Foaming Face Wash,4,Does what it says. Nice texture and absorbs quickly.,2026-03-05,synthetic
Gentle Foaming Face Wash,3,Works fine but I probably won't repurchase.,2026-05-30,synthetic
Salicylic Acid Toner,4,"Works well, took a few weeks to see results.",2026-02-26,synthetic
Niacinamide 10% Serum,1,"Had an allergic reaction, avoid if you're sensitive.",2026-01-24,synthetic
Barrier Repair Moisturiser,3,"It's okay, nothing special.",2026-06-10,synthetic
Salicylic Acid Toner,5,"Perfect for my sensitive skin, no reaction whatsoever.",2026-01-17,synthetic
Fragrance-Free Body Lotion,5,"Perfect for my sensitive skin, no reaction whatsoever.",2026-03-06,synthetic
