product_asin,product_name,rating,title,text
B01M4MIU8P,CeraVe Hydrating Facial Cleanser,5,Love it!,This cleanser is amazing. My skin feels so soft and hydrated. No irritation at all.
B01M4MIU8P,CeraVe Hydrating Facial Cleanser,4,Good product,Works well but a bit expensive. My skin feels clean.
B01M4MIU8P,CeraVe Hydrating Facial Cleanser,2,Caused breakouts,This gave me acne. Stopped using after a week.
B01M4MIU8P,CeraVe Hydrating Facial Cleanser,5,Perfect for sensitive skin,No fragrance. Gentle. My rosacea improved.
B01M4MIU8P,CeraVe Hydrating Facial Cleanser,3,Just okay,Nothing special. Didn't break me out but didn't wow me.
B00NRQZ0J2,Neutrogena Hydro Boost,5,Holy grail,This moisturizer is incredible. Gel texture absorbs quickly.
B00NRQZ0J2,Neutrogena Hydro Boost,4,Good for dry skin,My flaky skin is gone. Hydrating without being greasy.
B00NRQZ0J2,Neutrogena Hydro Boost,2,Broke me out,Got cystic acne from this. Stopped using.
B0788DVRM1,The Ordinary Niacinamide,5,Game changer,My pores are smaller. Oil production reduced significantly.
B0788DVRM1,The Ordinary Niacinamide,4,Works well,Good product for the price. Helps with texture.
B0788DVRM1,The Ordinary Niacinamide,1,Irritation,Burned my skin. Redness and itching. Had to wash off.
B07RKVXTTN,La Roche-Posay Toleriane,5,Favorite moisturizer,Rich but not heavy. Perfect for dry sensitive skin.
B07RKVXTTN,La Roche-Posay Toleriane,4,Good,Pricey but good. Ceramides help my barrier.
B07RKVXTTN,La Roche-Posay Toleriane,3,Just fine,Not worth the hype. My Cetaphil works just as well.
B01LYN1QH6,Cetaphil Gentle Cleanser,5,Classic,Been using for years. Never irritates. Does the job.
B01LYN1QH6,Cetaphil Gentle Cleanser,4,Works,Simple and effective. No frills.
B01LYN1QH6,Cetaphil Gentle Cleanser,2,Too basic,Doesn't remove makeup well. Leaves residue.
